topology,qi,match,tokens,diameter,avg_degree,structural_entropy,spectral_gap,task_centrality,n_agents
ba_3_m1_s5,77,0,40056,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,78,1,19724,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,79,1,62823,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,80,0,10495,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,81,0,1756,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,82,1,54148,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,83,0,2338,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,84,0,27803,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,85,0,4455,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,86,1,9620,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,87,0,6765,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,88,0,10282,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,89,0,170980,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,90,0,69541,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,91,0,16844,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,92,0,44726,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,93,1,30642,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,94,0,10434,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,95,0,4805,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,96,0,7777,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,97,0,2785,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,98,0,2588,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,99,0,161085,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_4_m2_s1,0,0,15238,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,1,1,9007,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,2,0,12844,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,3,0,97050,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,4,1,24258,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,5,1,126100,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,6,0,35465,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,7,0,194823,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,8,0,130760,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,9,0,9351,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,10,0,13752,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,11,1,10963,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,12,1,10748,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,13,1,28577,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,14,0,15267,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,15,0,6671,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,16,0,34168,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,17,0,3618,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,18,0,2687,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,19,0,57455,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,20,0,2884,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,21,0,2067,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,22,1,63734,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,23,0,1630,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,24,0,162848,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,25,0,2022,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,26,1,118962,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,27,0,36534,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,28,0,33134,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,29,0,15646,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,30,0,9584,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,31,0,34162,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,32,0,20831,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,33,0,1876,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,34,0,21621,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,35,0,5744,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,36,0,7168,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,37,0,6956,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,38,0,48599,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,39,0,7003,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,40,0,35286,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,41,0,5196,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,42,1,48549,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,43,0,12385,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,44,0,125502,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,45,0,157220,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,46,0,9649,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,47,0,3306,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,48,0,2788,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,49,1,5573,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,50,0,121068,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,51,0,44679,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,52,0,112333,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,53,0,15585,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,54,0,42644,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,55,0,6210,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,56,0,31028,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,57,1,2613,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,58,1,57163,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,59,0,2225,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,60,1,32816,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
ba_4_m2_s1,61,0,72400,1.6,1.1666666666666667,2.467720100474499,0.597917115534802,0.0,5
